-0.032093,-0.01208,0.08643,-0.10881,-0.12348,0.036628,-0.10142,0.010773,-0.15971,0.21449,0.11122,0.11813,0.14375,-0.098285,0.091317,0.1447,0.070476,0.0028908,-0.1931,0.045903,0.50395,0.092285,-0.31485,0.24398,0.24513,-0.18181,0.032587,0.094886,0.11354,-0.03238,0.14341,0.01109,0.20591,-0.027451,0.29706,-0.17709,0.21587,-0.10545,-0.15323,0.069003,-0.67837,-0.093578,-0.042991,-0.073442,-0.078051,-0.045111,-0.25409,0.12984,0.016507,0.071374,0.014369,-0.20786,0.16878,0.084409,0.048631,-0.091658,0.13932,0.020333
-0.017198,-0.011088,0.091551,-0.10982,-0.12394,0.038131,-0.10112,0.0022818,-0.16702,0.21068,0.11632,0.12142,0.15017,-0.094705,0.086955,0.14689,0.070612,-0.0048727,-0.2025,0.049084,0.51624,0.094407,-0.30733,0.24247,0.26246,-0.19443,0.035173,0.084272,0.093216,-0.036158,0.12725,0.010835,0.20977,-0.031224,0.28493,-0.17707,0.21258,-0.10415,-0.15205,0.07712,-0.68799,-0.088784,-0.034991,-0.057573,-0.091164,-0.045151,-0.25909,0.12583,0.022097,0.067755,0.01559,-0.21896,0.17894,0.09096,0.04711,-0.090324,0.15422,0.013104
-0.0057922,0.0033375,0.090691,-0.10715,-0.12322,0.039544,-0.1006,-0.0028201,-0.17512,0.19631,0.11403,0.11721,0.14945,-0.092993,0.080156,0.1427,0.069773,-0.01562,-0.20132,0.055429,0.52136,0.092512,-0.29341,0.23664,0.28069,-0.20085,0.027247,0.066873,0.064501,-0.049426,0.10676,0.015992,0.21376,-0.028592,0.26353,-0.17688,0.19944,-0.10082,-0.1569,0.083603,-0.69415,-0.087181,-0.025528,-0.04674,-0.10094,-0.048175,-0.26615,0.12632,0.034358,0.066673,0.025197,-0.22312,0.18742,0.091529,0.047458,-0.088185,0.16668,0.0067726
0.0012711,0.031435,0.08354,-0.10076,-0.12119,0.040752,-0.1001,-0.0044103,-0.1838,0.17109,0.10398,0.10523,0.14127,-0.093306,0.071083,0.13182,0.067736,-0.029139,-0.18897,0.0643,0.51859,0.086337,-0.27322,0.22659,0.29901,-0.20091,0.0082947,0.042723,0.02776,-0.072229,0.082573,0.026296,0.21758,-0.019344,0.2327,-0.17647,0.17703,-0.095541,-0.16818,0.088232,-0.696,-0.088775,-0.014828,-0.041728,-0.10686,-0.054426,-0.27492,0.13105,0.05285,0.068262,0.042985,-0.21991,0.19379,0.086078,0.049324,-0.085553,0.17583,0.0014648
0.0032465,0.072624,0.070151,-0.09084,-0.11775,0.041623,-0.099932,-0.0025977,-0.19282,0.13537,0.086228,0.085686,0.12577,-0.095686,0.060087,0.11429,0.064303,-0.045019,-0.16543,0.074725,0.50757,0.075824,-0.24728,0.21272,0.31639,-0.19489,-0.021617,0.012271,-0.016114,-0.10402,0.055683,0.041076,0.22085,-0.0036639,0.19277,-0.17577,0.14668,-0.088525,-0.18602,0.090875,-0.69278,-0.09333,-0.0032188,-0.043088,-0.10857,-0.064004,-0.28486,0.13941,0.076625,0.072514,0.068152,-0.20929,0.19768,0.074982,0.052155,-0.08285,0.18075,-0.0027463
-0.00046715,0.12553,0.050942,-0.077799,-0.11286,0.042019,-0.10044,0.0022881,-0.20186,0.090066,0.061279,0.059242,0.10349,-0.10005,0.047706,0.090529,0.059328,-0.06268,-0.13125,0.085447,0.48824,0.061115,-0.21649,0.19569,0.3317,-0.18352,-0.061832,-0.023622,-0.065727,-0.14366,0.027404,0.05929,0.22316,0.017866,0.14457,-0.17472,0.11036,-0.080147,-0.21025,0.091481,-0.68379,-0.10038,0.0088858,-0.051115,-0.10588,-0.076864,-0.2952,0.15044,0.10428,0.079292,0.099332,-0.19163,0.19878,0.059008,0.055237,-0.080583,0.1806,-0.0058353
-0.010291,0.18803,0.026693,-0.062238,-0.1065,0.041797,-0.10199,0.0097218,-0.21059,0.036682,0.03004,0.026962,0.075409,-0.1062,0.034641,0.061309,0.05273,-0.081401,-0.08755,0.094999,0.46093,0.042548,-0.18203,0.17644,0.34372,-0.16788,-0.11113,-0.063716,-0.11925,-0.18952,-0.00070027,0.079589,0.22408,0.044294,0.089331,-0.17321,0.070597,-0.070907,-0.2404,0.090077,-0.66852,-0.10925,0.021012,-0.065816,-0.09872,-0.092804,-0.30504,0.16289,0.13402,0.088337,0.13466,-0.16768,0.19685,0.039269,0.057741,-0.079304,0.17463,-0.0078156
-0.026434,0.25741,-0.001493,-0.04492,-0.098705,0.040822,-0.10494,0.019019,-0.21867,-0.022809,-0.0062132,-0.0097237,0.04285,-0.11381,0.021729,0.027709,0.044519,-0.10037,-0.035953,0.1018,0.42625,0.020631,-0.14537,0.15611,0.3512,-0.14939,-0.16779,-0.10644,-0.17451,-0.23951,-0.026901,0.1004,0.22322,0.074339,0.028657,-0.17114,0.030246,-0.061412,-0.27571,0.086762,-0.6466,-0.11908,0.032656,-0.086908,-0.0872,-0.11148,-0.31337,0.17533,0.16379,0.099295,0.17189,-0.1385,0.19169,0.017153,0.058791,-0.079576,0.16219,-0.0087287
-0.048871,0.33047,-0.032237,-0.026719,-0.089542,0.038972,-0.10957,0.029385,-0.22578,-0.086045,-0.045905,-0.049099,0.0074367,-0.12245,0.0099046,-0.0089276,0.034812,-0.11872,0.021526,0.10428,0.38513,-0.00398,-0.10808,0.13595,0.35296,-0.12971,-0.22966,-0.14996,-0.22912,-0.2912,-0.049405,0.12004,0.2202,0.10646,-0.035585,-0.16838,-0.0076666,-0.052345,-0.31523,0.08169,-0.61789,-0.1289,0.043313,-0.11381,-0.071549,-0.13239,-0.31909,0.18619,0.19141,0.11174,0.2085,-0.10547,0.18322,-0.0057661,0.05753,-0.081917,0.14284,-0.0086319
-0.077326,0.40371,-0.063951,-0.0085635,-0.079103,0.036147,-0.11611,0.039966,-0.23163,-0.15041,-0.087236,-0.089259,-0.029001,-0.13161,0.00015062,-0.047063,0.023844,-0.13562,0.082569,0.10094,0.33869,-0.030522,-0.071811,0.11729,0.34796,-0.11059,-0.29427,-0.19229,-0.2806,-0.34199,-0.066471,0.13681,0.21475,0.13892,-0.10137,-0.16478,-0.04018,-0.044427,-0.35778,0.075062,-0.58245,-0.13765,0.052515,-0.14568,-0.05212,-0.15495,-0.3211,0.19391,0.21467,0.1252,0.24187,-0.070096,0.17142,-0.027827,0.053194,-0.086755,0.11631,-0.0075867
-0.11127,0.47355,-0.094921,0.0086185,-0.067505,0.032278,-0.12467,0.049912,-0.23598,-0.21317,-0.12828,-0.12821,-0.064525,-0.14069,-0.0065539,-0.085042,0.011978,-0.15028,0.14468,0.090533,0.28824,-0.058158,-0.038134,0.10146,0.33537,-0.093843,-0.35893,-0.23136,-0.32651,-0.38922,-0.076521,0.14912,0.20668,0.16989,-0.16662,-0.16016,-0.064611,-0.038377,-0.40208,0.06711,-0.54062,-0.1443,0.059863,-0.1814,-0.02936,-0.17843,-0.31839,0.19707,0.23154,0.1392,0.26943,-0.034042,0.15634,-0.047395,0.04518,-0.094386,0.082576,-0.0056487
-0.14991,0.53649,-0.12339,0.023963,-0.054886,0.027327,-0.13524,0.05843,-0.23866,-0.27162,-0.1671,-0.16398,-0.097191,-0.1491,-0.0092885,-0.12118,-0.00029667,-0.16204,0.20534,0.072115,0.2352,-0.086022,-0.0084609,0.089671,0.31465,-0.081139,-0.4209,-0.26516,-0.36462,-0.43029,-0.078257,0.15561,0.19594,0.19756,-0.22934,-0.15434,-0.078764,-0.034869,-0.44674,0.058088,-0.49292,-0.14783,0.065055,-0.21964,-0.0037944,-0.20206,-0.31004,0.19446,0.24029,0.15326,0.28882,0.0010353,0.13816,-0.062966,0.033105,-0.10493,0.041897,-0.0028594
-0.19225,0.58935,-0.14767,0.036722,-0.041397,0.021302,-0.14763,0.064838,-0.23957,-0.32321,-0.20181,-0.19474,-0.12515,-0.15622,-0.0072466,-0.15384,-0.012373,-0.17039,0.26207,0.045148,0.18102,-0.11325,0.016055,0.082968,0.28556,-0.073952,-0.47746,-0.29183,-0.39303,-0.46286,-0.070759,0.15522,0.18259,0.22017,-0.28772,-0.14713,-0.0811,-0.03449,-0.4904,0.048258,-0.44015,-0.14737,0.067908,-0.25891,0.023995,-0.225,-0.29531,0.18518,0.2396,0.16695,0.29805,0.03355,0.11711,-0.073272,0.016851,-0.11831,-0.0052116,0.00075726
-0.23708,0.6294,-0.16621,0.046317,-0.027199,0.014247,-0.16151,0.068613,-0.23872,-0.36574,-0.23071,-0.21886,-0.14678,-0.16148,0.0002127,-0.18155,-0.023545,-0.17502,0.31265,0.0095485,0.12714,-0.13903,0.0346,0.082167,0.24826,-0.073436,-0.5261,-0.30978,-0.41028,-0.48492,-0.053567,0.14727,0.16686,0.23618,-0.3402,-0.13832,-0.070876,-0.037706,-0.53172,0.037887,-0.38328,-0.14221,0.068376,-0.29758,0.05339,-0.24643,-0.27371,0.16878,0.22867,0.17989,0.29563,0.062075,0.093532,-0.077368,-0.0034059,-0.13421,-0.057952,0.0051949
-0.28303,0.65454,-0.1777,0.052373,-0.012463,0.0062506,-0.17638,0.069423,-0.23618,-0.39738,-0.25237,-0.23506,-0.16071,-0.16438,0.01352,-0.20303,-0.033028,-0.17581,0.35514,-0.034274,0.074912,-0.1626,0.046751,0.087792,0.2033,-0.080347,-0.56458,-0.31776,-0.41543,-0.49492,-0.026743,0.13153,0.14909,0.24429,-0.3856,-0.12772,-0.048225,-0.044823,-0.56947,0.027242,-0.32344,-0.13189,0.06655,-0.33397,0.083753,-0.26551,-0.24502,0.14525,0.20732,0.19176,0.28065,0.08541,0.067868,-0.074701,-0.027187,-0.15211,-0.11526,0.01046
-0.32865,0.66337,-0.18114,0.054745,0.0026337,-0.0025609,-0.19162,0.067151,-0.23209,-0.41685,-0.26569,-0.24242,-0.16596,-0.16452,0.032859,-0.21731,-0.04,-0.17285,0.38801,-0.085424,0.025574,-0.18332,0.052511,0.10004,0.15162,-0.094973,-0.59104,-0.31496,-0.40815,-0.49185,0.0091025,0.10822,0.12978,0.24353,-0.42313,-0.11516,-0.014178,-0.055967,-0.60256,0.016585,-0.26192,-0.11618,0.062663,-0.36642,0.11444,-0.2815,-0.20928,0.11512,0.17598,0.2023,0.25291,0.10264,0.040644,-0.065156,-0.05373,-0.17128,-0.17584,0.016564
-0.37244,0.65534,-0.17594,0.053533,0.01791,-0.012027,-0.20646,0.0619,-0.22668,-0.42346,-0.26996,-0.24047,-0.16198,-0.16164,0.058143,-0.22375,-0.043637,-0.16641,0.41017,-0.14256,-0.019799,-0.20065,0.052311,0.11876,0.094527,-0.11711,-0.60411,-0.30109,-0.38872,-0.47527,0.05281,0.078025,0.10948,0.23334,-0.45243,-0.10048,0.029375,-0.071068,-0.6301,0.0061809,-0.20002,-0.095171,0.057066,-0.39332,0.14483,-0.29369,-0.16689,0.079413,0.1357,0.21133,0.21289,0.11318,0.012478,-0.049073,-0.082019,-0.19078,-0.23817,0.02351
-0.41292,0.63065,-0.1619,0.049075,0.033179,-0.02196,-0.22005,0.053989,-0.2202,-0.4171,-0.26492,-0.22916,-0.14865,-0.15566,0.089001,-0.22208,-0.043162,-0.15693,0.42107,-0.20395,-0.060322,-0.21417,0.046981,0.14346,0.033651,-0.14604,-0.6029,-0.27635,-0.35803,-0.44534,0.1027,0.042024,0.088846,0.21353,-0.47356,-0.083575,0.079783,-0.089851,-0.65139,-0.0037054,-0.13911,-0.06922,0.050215,-0.41322,0.17428,-0.30151,-0.11851,0.03963,0.088116,0.21869,0.16178,0.11678,-0.015924,-0.027241,-0.11085,-0.20955,-0.30062,0.031277
-0.44873,0.59035,-0.13928,0.041933,0.048244,-0.032153,-0.23151,0.043925,-0.21294,-0.39829,-0.25071,-0.20893,-0.12632,-0.14664,0.12478,-0.21243,-0.037888,-0.14498,0.42061,-0.26756,-0.09531,-0.22357,0.037707,0.17332,-0.029116,-0.18057,-0.5871,-0.24151,-0.31754,-0.4028,0.15665,0.0016517,0.06856,0.18434,-0.48699,-0.064378,0.13379,-0.11185,-0.66598,-0.012802,-0.080448,-0.038984,0.042631,-0.42486,0.20219,-0.30452,-0.065109,-0.0022979,0.035341,0.22428,0.10143,0.11352,-0.04378,-0.00085164,-0.13889,-0.22644,-0.36141,0.039806
-0.47864,0.53618,-0.10881,0.032855,0.062905,-0.042391,-0.23995,0.032375,-0.20519,-0.36812,-0.22795,-0.1806,-0.095806,-0.13483,0.16458,-0.19529,-0.027268,-0.13119,0.40923,-0.33122,-0.12429,-0.22867,0.02595,0.20722,-0.091707,-0.21907,-0.55691,-0.19785,-0.26917,-0.34889,0.21217,-0.041402,0.049291,0.14644,-0.49352,-0.042893,0.18774,-0.1364,-0.67364,-0.020827,-0.025215,-0.0053792,0.034872,-0.42724,0.228,-0.30244,-0.0078784,-0.044117,-0.020141,0.228,0.03423,0.10382,-0.07024,0.028556,-0.16479,-0.24026,-0.4188,0.048984
-0.50167,0.47047,-0.071627,0.022738,0.076954,-0.052458,-0.24454,0.020114,-0.19722,-0.3282,-0.19762,-0.14535,-0.058295,-0.12068,0.20725,-0.17155,-0.010941,-0.11622,0.38777,-0.39267,-0.14698,-0.22938,0.013354,0.24382,-0.15197,-0.25955,-0.51305,-0.1471,-0.21524,-0.28532,0.26652,-0.085292,0.031664,0.10085,-0.49421,-0.019192,0.2378,-0.16272,-0.67436,-0.027489,0.025591,0.030456,0.027486,-0.41969,0.25114,-0.29513,0.051784,-0.083361,-0.075625,0.22976,-0.036964,0.088373,-0.094407,0.059187,-0.18724,-0.24987,-0.47105,0.058629
-0.51711,0.39606,-0.02924,0.01257,0.090177,-0.062152,-0.24455,0.0079745,-0.18927,-0.28053,-0.16105,-0.10469,-0.015337,-0.10475,0.25147,-0.14238,0.011235,-0.1007,0.35746,-0.44977,-0.1633,-0.22571,0.0016401,0.28159,-0.20779,-0.29978,-0.45672,-0.091423,-0.15832,-0.21416,0.31686,-0.12813,0.016218,0.048926,-0.49028,0.0065719,0.28022,-0.18986,-0.66834,-0.032482,0.071188,0.067212,0.020979,-0.40185,0.27109,-0.28263,0.11235,-0.11749,-0.12835,0.22944,-0.10901,0.068079,-0.11535,0.089093,-0.20509,-0.25427,-0.51657,0.06848
-0.52454,0.31604,0.01652,0.0033756,0.10235,-0.071289,-0.23941,-0.0032103,-0.1815,-0.22745,-0.11986,-0.060285,0.031265,-0.087768,0.29577,-0.10922,0.039152,-0.085154,0.31983,-0.5006,-0.17334,-0.21774,-0.0075043,0.3189,-0.25714,-0.33737,-0.38953,-0.033267,-0.10109,-0.1377,0.36038,-0.16812,0.0033724,-0.0076971,-0.48304,0.034159,0.31161,-0.21683,-0.65595,-0.035498,0.11104,0.10347,0.01577,-0.37374,0.28739,-0.26515,0.17223,-0.14402,-0.17567,0.22689,-0.17865,0.044011,-0.13214,0.11629,-0.21744,-0.2526,-0.55396,0.078193
-0.52389,0.23365,0.063602,-0.0038495,0.11327,-0.07971,-0.22876,-0.012667,-0.17403,-0.17143,-0.075851,-0.013938,0.079535,-0.070529,0.33865,-0.073678,0.072434,-0.069995,0.27661,-0.54359,-0.17733,-0.2056,-0.012538,0.35412,-0.29826,-0.36993,-0.31341,0.024721,-0.046191,-0.058341,0.39445,-0.20364,-0.0065998,-0.067209,-0.47375,0.063245,0.32914,-0.24259,-0.63772,-0.036229,0.14489,0.13776,0.012163,-0.33578,0.29957,-0.24309,0.22983,-0.1607,-0.21522,0.2219,-0.24263,0.017329,-0.14386,0.13887,-0.2237,-0.2443,-0.58207,0.087345
