PPID,Type,Liking,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
211028AZHA1,Liking,Like,61,241,361,781,961,,,,,,,,,,,,,
211028AZHA1,Liking,Love,1,181,601,1021,1201,1321,1381,,,,,,,,,,,
211028SLEE1,Liking,Hate,121,361,541,781,841,901,961,1141,,,,,,,,,,
211028SLEE1,Liking,Neutral,241,1381,,,,,,,,,,,,,,,,
211028SLEE1,Liking,Like,1,181,421,601,721,1201,1321,,,,,,,,,,,
211028SLEE1,Liking,Love,61,301,481,661,1021,1081,1261,,,,,,,,,,,
211103LGAR1,Liking,Hate,361,601,781,841,961,1021,1321,,,,,,,,,,,
211103LGAR1,Liking,Neutral,181,241,421,481,1261,,,,,,,,,,,,,
211103LGAR1,Liking,Like,661,1081,1141,1201,1381,,,,,,,,,,,,,
211103LGAR1,Liking,Love,1,61,301,541,721,901,,,,,,,,,,,,
211103LGAR1,Liking,,121,,,,,,,,,,,,,,,,,
211104CZAL1,Liking,Neutral,61,181,241,301,421,721,781,841,1021,1141,,,,,,,,
211104CZAL1,Liking,Like,121,361,541,901,1261,1321,1381,,,,,,,,,,,
211104CZAL1,Liking,Love,1,481,601,661,961,1081,1201,,,,,,,,,,,
211118APOP1,Liking,Hate,241,481,961,1321,,,,,,,,,,,,,,
211118APOP1,Liking,Neutral,121,181,301,421,661,901,1021,1081,1381,,,,,,,,,
211118APOP1,Liking,Like,541,721,781,1141,1201,,,,,,,,,,,,,
211118APOP1,Liking,Love,1,61,361,601,841,1261,,,,,,,,,,,,
211118TSTA1,Liking,Hate,181,541,721,901,961,1201,1381,,,,,,,,,,,
211118TSTA1,Liking,Neutral,241,661,781,1021,,,,,,,,,,,,,,
211118TSTA1,Liking,Like,301,361,481,601,1081,1141,,,,,,,,,,,,
211118TSTA1,Liking,Love,1,61,121,421,841,1261,1321,,,,,,,,,,,
211122LWIE1,Liking,Hate,121,361,,,,,,,,,,,,,,,,
211122LWIE1,Liking,Neutral,1,181,241,301,421,601,841,961,1321,,,,,,,,,
211122LWIE1,Liking,Like,61,481,661,781,901,1021,1141,1201,,,,,,,,,,
211122LWIE1,Liking,Love,541,721,1081,1261,1381,,,,,,,,,,,,,
211123GWAI1,Liking,Hate,481,541,781,841,1081,,,,,,,,,,,,,
211123GWAI1,Liking,Neutral,241,301,661,901,1021,1381,,,,,,,,,,,,
211123GWAI1,Liking,Like,361,601,721,961,1141,1261,,,,,,,,,,,,
211123GWAI1,Liking,Love,1,61,121,181,421,1201,1321,,,,,,,,,,,
211129SCAM1,Liking,Hate,181,1201,,,,,,,,,,,,,,,,
211129SCAM1,Liking,Neutral,61,241,361,481,961,1321,,,,,,,,,,,,
211129SCAM1,Liking,Like,1,121,301,421,841,1021,1081,1141,,,,,,,,,,
211129SCAM1,Liking,Love,541,601,661,721,781,901,1261,1381,,,,,,,,,,
211201KCHU1,Liking,Hate,1,361,1201,,,,,,,,,,,,,,,
211201KCHU1,Liking,Neutral,241,301,421,541,661,721,781,841,1141,1321,1381,,,,,,,
211201KCHU1,Liking,Like,61,181,901,1261,,,,,,,,,,,,,,
211201KCHU1,Liking,Love,121,481,601,961,1021,1081,,,,,,,,,,,,
211202KPLU1,Liking,Hate,1,121,181,241,481,601,661,781,901,961,1141,1261,1321,,,,,
211202KPLU1,Liking,Neutral,61,301,361,841,,,,,,,,,,,,,,
211202KPLU1,Liking,Like,721,,,,,,,,,,,,,,,,,
211202KPLU1,Liking,Love,421,541,1021,1081,1201,1381,,,,,,,,,,,,
211203KWAL1,Liking,Hate,541,721,1261,1381,,,,,,,,,,,,,,
211203KWAL1,Liking,Neutral,121,361,781,961,,,,,,,,,,,,,,
211203KWAL1,Liking,Like,421,481,601,661,841,1141,1321,,,,,,,,,,,
211203KWAL1,Liking,Love,1,61,181,241,301,901,1021,1081,1201,,,,,,,,,
211203ZCAR1,Liking,Hate,61,361,601,1201,,,,,,,,,,,,,,
211203ZCAR1,Liking,Neutral,121,301,481,721,841,901,961,1081,1261,,,,,,,,,
211203ZCAR1,Liking,Like,1,181,241,421,541,1141,1321,,,,,,,,,,,
211203ZCAR1,Liking,Love,661,781,1021,1381,,,,,,,,,,,,,,
211206JLAW1,Liking,Neutral,1,61,241,301,481,541,601,721,961,1081,1141,1261,,,,,,
211206JLAW1,Liking,Like,181,361,661,901,,,,,,,,,,,,,,
211206JLAW1,Liking,Love,121,781,841,1021,1321,1381,,,,,,,,,,,,
211206JLAW1,Liking,,421,1201,,,,,,,,,,,,,,,,
211209ASUR1,Liking,Hate,541,601,1381,,,,,,,,,,,,,,,
211209ASUR1,Liking,Neutral,121,181,241,301,361,661,961,1021,1321,,,,,,,,,
211209ASUR1,Liking,Like,61,721,781,841,,,,,,,,,,,,,,
211209ASUR1,Liking,Love,1,421,481,901,1081,1141,1201,1261,,,,,,,,,,
220201IZIK1,Liking,Neutral,61,301,721,781,841,961,1021,1201,1261,1321,,,,,,,,
220201IZIK1,Liking,Like,1,361,541,601,901,,,,,,,,,,,,,
220201IZIK1,Liking,Love,121,181,241,421,481,661,1081,1141,1381,,,,,,,,,
220203SAPE1,Liking,Neutral,1,61,121,241,361,421,481,601,661,721,781,901,1081,1141,1261,1321,1381,
220203SAPE1,Liking,Like,181,,,,,,,,,,,,,,,,,
220203SAPE1,Liking,Love,301,541,841,961,1021,1201,,,,,,,,,,,,
220210TBOY1,Liking,Hate,421,481,721,841,901,1021,1141,,,,,,,,,,,
220210TBOY1,Liking,Neutral,1,61,,,,,,,,,,,,,,,,
220210TBOY1,Liking,Like,301,361,541,601,961,,,,,,,,,,,,,
220210TBOY1,Liking,Love,121,181,241,661,781,1081,1201,1261,1321,1381,,,,,,,,
220215MCHI1,Liking,Hate,181,,,,,,,,,,,,,,,,,
220215MCHI1,Liking,Neutral,121,301,421,1141,,,,,,,,,,,,,,
220215MCHI1,Liking,Like,1,61,241,361,481,781,1081,1381,,,,,,,,,,
220215MCHI1,Liking,Love,541,601,661,721,841,901,961,1021,1201,1261,1321,,,,,,,
220217JCLA1,Liking,Hate,781,1141,1261,1321,1381,,,,,,,,,,,,,
220217JCLA1,Liking,Neutral,61,121,301,421,481,661,841,901,1021,,,,,,,,,
220217JCLA1,Liking,Like,1,601,,,,,,,,,,,,,,,,
220217JCLA1,Liking,Love,181,241,361,541,721,961,1081,1201,,,,,,,,,,
220222SSOH1,Liking,Hate,361,1021,1261,,,,,,,,,,,,,,,
220222SSOH1,Liking,Neutral,181,241,301,421,541,721,961,1141,1381,,,,,,,,,
220222SSOH1,Liking,Like,1,481,601,1081,1321,,,,,,,,,,,,,
220222SSOH1,Liking,Love,61,121,661,781,841,901,1201,,,,,,,,,,,
220301AWIL1,Liking,Hate,1021,,,,,,,,,,,,,,,,,
220301AWIL1,Liking,Neutral,1,61,121,361,481,781,841,901,961,1141,1201,,,,,,,
220301AWIL1,Liking,Like,181,301,421,601,721,1321,,,,,,,,,,,,
220301AWIL1,Liking,Love,241,541,661,1081,1261,1381,,,,,,,,,,,,
220303STHO1,Liking,Hate,421,841,1261,,,,,,,,,,,,,,,
220303STHO1,Liking,Neutral,1,61,181,301,361,1021,1141,1321,,,,,,,,,,
220303STHO1,Liking,Like,241,481,601,661,781,901,1081,,,,,,,,,,,
220303STHO1,Liking,Love,121,541,721,961,1201,1381,,,,,,,,,,,,
220308MBIC1,Liking,Neutral,181,541,721,961,1021,1141,1381,,,,,,,,,,,
220308MBIC1,Liking,Like,301,421,481,601,661,781,901,,,,,,,,,,,
220308MBIC1,Liking,Love,1,61,121,241,361,841,1081,1201,1261,1321,,,,,,,,
220310CKOB1,Liking,Neutral,421,601,781,841,1201,,,,,,,,,,,,,
220310CKOB1,Liking,Like,181,241,301,361,541,961,1021,1141,1261,,,,,,,,,
220310CKOB1,Liking,Love,1,61,121,481,661,721,901,1081,1321,1381,,,,,,,,
220315CNOR1,Liking,Like,541,601,661,1201,,,,,,,,,,,,,,
220315CNOR1,Liking,Love,1,61,121,181,241,301,361,421,481,781,901,961,1021,1081,1141,1261,1321,1381
220315CNOR1,Liking,,721,841,,,,,,,,,,,,,,,,
220322ALIU1,Liking,Hate,301,661,,,,,,,,,,,,,,,,
220322ALIU1,Liking,Neutral,481,601,721,1261,1381,,,,,,,,,,,,,
220322ALIU1,Liking,Like,1,241,1141,1321,,,,,,,,,,,,,,
220322ALIU1,Liking,Love,121,181,361,421,541,781,841,901,961,1021,1081,1201,,,,,,
220322ALIU1,Liking,,61,,,,,,,,,,,,,,,,,
220324OKHE1,Liking,Neutral,121,601,1021,1261,,,,,,,,,,,,,,
220324OKHE1,Liking,Like,61,301,361,421,541,661,721,781,841,1141,1201,1381,,,,,,
220324OKHE1,Liking,Love,1,181,241,901,961,1081,1321,,,,,,,,,,,
220324OKHE1,Liking,,481,,,,,,,,,,,,,,,,,
220329OEGB1,Liking,Neutral,241,661,961,1201,1261,1321,1381,,,,,,,,,,,
220329OEGB1,Liking,Like,61,181,721,781,901,1021,,,,,,,,,,,,
220329OEGB1,Liking,Love,1,121,301,361,421,481,541,601,841,1081,1141,,,,,,,
220405EMCG1,Liking,Neutral,1,601,1261,,,,,,,,,,,,,,,
220405EMCG1,Liking,Like,61,121,181,241,301,481,541,901,961,1321,,,,,,,,
220405EMCG1,Liking,Love,361,421,661,721,781,841,1021,1081,1141,1201,1381,,,,,,,
220412YDIA1,Liking,Hate,601,721,781,1021,1081,1141,1201,1261,1381,,,,,,,,,
220412YDIA1,Liking,Neutral,1,181,241,481,661,841,961,1321,,,,,,,,,,
220412YDIA1,Liking,Like,121,,,,,,,,,,,,,,,,,
220412YDIA1,Liking,Love,61,301,361,421,541,901,,,,,,,,,,,,
220421NLEN1,Liking,Neutral,61,,,,,,,,,,,,,,,,,
220421NLEN1,Liking,Like,301,541,601,661,721,781,841,1081,1201,1261,1321,1381,,,,,,
220421NLEN1,Liking,Love,121,181,241,361,421,481,901,961,1021,1141,,,,,,,,
220421NLEN1,Liking,,1,,,,,,,,,,,,,,,,,
220421NLEN3,Liking,Hate,361,,,,,,,,,,,,,,,,,
220421NLEN3,Liking,Neutral,661,,,,,,,,,,,,,,,,,
220421NLEN3,Liking,Like,61,121,181,241,301,541,601,721,841,961,1141,1261,1321,1381,,,,
220421NLEN3,Liking,Love,1,421,481,781,901,1021,1081,1201,,,,,,,,,,
220503MCHO1,Liking,Neutral,361,721,841,901,1021,1081,1261,1321,1381,,,,,,,,,
220503MCHO1,Liking,Like,301,,,,,,,,,,,,,,,,,
220503MCHO1,Liking,Love,1,61,121,181,241,421,481,541,601,661,781,961,1141,1201,,,,
220505ETIN1,Liking,Hate,181,241,481,541,661,721,841,901,1081,1321,,,,,,,,
220505ETIN1,Liking,Neutral,1,121,421,781,1021,1201,1261,,,,,,,,,,,
