PPID,Type,Familiarity,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
211203KWAL1,Familiarity,VeryFamiliar,1,61,301,541,901,1021,1081,1201,,,,,,,,,,,,,,,,
211203ZCAR1,Familiarity,VeryUnfamiliar,61,121,181,241,301,361,481,601,721,841,901,961,1201,1261,,,,,,,,,,
211203ZCAR1,Familiarity,Unfamiliar,1,541,1081,,,,,,,,,,,,,,,,,,,,,
211203ZCAR1,Familiarity,Familiar,421,1141,,,,,,,,,,,,,,,,,,,,,,
211203ZCAR1,Familiarity,VeryFamiliar,661,781,1021,1321,1381,,,,,,,,,,,,,,,,,,,
211206JLAW1,Familiarity,VeryUnfamiliar,1,61,241,301,361,421,481,541,601,661,721,1081,1141,1201,,,,,,,,,,
211206JLAW1,Familiarity,Unfamiliar,181,961,,,,,,,,,,,,,,,,,,,,,,
211206JLAW1,Familiarity,Familiar,901,,,,,,,,,,,,,,,,,,,,,,,
211206JLAW1,Familiarity,VeryFamiliar,121,781,841,1021,1381,,,,,,,,,,,,,,,,,,,
211206JLAW1,Familiarity,,1261,1321,,,,,,,,,,,,,,,,,,,,,,
211209ASUR1,Familiarity,VeryUnfamiliar,181,241,361,541,601,961,1021,1321,1381,,,,,,,,,,,,,,,
211209ASUR1,Familiarity,Unfamiliar,61,121,661,781,841,901,,,,,,,,,,,,,,,,,,
211209ASUR1,Familiarity,Familiar,1,301,721,,,,,,,,,,,,,,,,,,,,,
211209ASUR1,Familiarity,VeryFamiliar,421,481,1081,1141,1201,1261,,,,,,,,,,,,,,,,,,
220201IZIK1,Familiarity,VeryUnfamiliar,541,721,781,1201,1321,,,,,,,,,,,,,,,,,,,
220201IZIK1,Familiarity,Unfamiliar,301,361,841,1081,,,,,,,,,,,,,,,,,,,,
220201IZIK1,Familiarity,Familiar,1,61,601,901,961,1021,1261,,,,,,,,,,,,,,,,,
220201IZIK1,Familiarity,VeryFamiliar,121,181,241,421,481,661,1141,1381,,,,,,,,,,,,,,,,
220203SAPE1,Familiarity,VeryUnfamiliar,661,1321,,,,,,,,,,,,,,,,,,,,,,
220203SAPE1,Familiarity,Unfamiliar,181,241,601,721,1141,,,,,,,,,,,,,,,,,,,
220203SAPE1,Familiarity,Familiar,121,361,421,1081,1261,,,,,,,,,,,,,,,,,,,
220203SAPE1,Familiarity,VeryFamiliar,1,61,301,481,541,781,841,901,961,1021,1201,1381,,,,,,,,,,,,
220210TBOY1,Familiarity,VeryUnfamiliar,301,601,721,781,961,,,,,,,,,,,,,,,,,,,
220210TBOY1,Familiarity,Unfamiliar,1,481,841,1141,1261,,,,,,,,,,,,,,,,,,,
220210TBOY1,Familiarity,Familiar,361,421,541,901,,,,,,,,,,,,,,,,,,,,
220210TBOY1,Familiarity,VeryFamiliar,61,121,181,241,661,1081,1201,1321,1381,,,,,,,,,,,,,,,
220210TBOY1,Familiarity,,1021,,,,,,,,,,,,,,,,,,,,,,,
220215MCHI1,Familiarity,VeryUnfamiliar,361,901,1081,1141,,,,,,,,,,,,,,,,,,,,
220215MCHI1,Familiarity,Familiar,1,61,181,301,721,781,841,961,1381,,,,,,,,,,,,,,,
