PPID,Type,Stim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
210616AEHR1,Stimulus,nw,181,421,541,1201,,,,,,,,,,,,,,,,,,,,
210715ELAR1,Stimulus,ss,241,301,541,961,1021,1381,,,,,,,,,,,,,,,,,,
210715ELAR1,Stimulus,fw,1,61,121,181,421,481,781,841,1141,1201,,,,,,,,,,,,,,
210715ELAR1,Stimulus,bp,361,601,1081,1261,,,,,,,,,,,,,,,,,,,,
210715ELAR1,Stimulus,nw,661,721,901,1321,,,,,,,,,,,,,,,,,,,,
210719BFOR1,Stimulus,ss,481,601,661,961,1081,1261,,,,,,,,,,,,,,,,,,
210719BFOR1,Stimulus,fw,1,121,361,721,781,841,901,1021,1141,1381,,,,,,,,,,,,,,
210719BFOR1,Stimulus,bp,61,181,301,541,,,,,,,,,,,,,,,,,,,,
210719BFOR1,Stimulus,nw,241,421,1201,1321,,,,,,,,,,,,,,,,,,,,
210719BFOR3,Stimulus,ss,1,121,721,1081,1141,1261,,,,,,,,,,,,,,,,,,
210719BFOR3,Stimulus,fw,241,541,601,661,841,961,1021,1201,1321,1381,,,,,,,,,,,,,,
210719BFOR3,Stimulus,bp,61,181,421,781,,,,,,,,,,,,,,,,,,,,
210719BFOR3,Stimulus,nw,301,361,481,901,,,,,,,,,,,,,,,,,,,,
211028AZHA1,Stimulus,ss,1,601,1021,1201,1321,1381,,,,,,,,,,,,,,,,,,
211028AZHA1,Stimulus,fw,61,181,241,361,481,781,841,901,961,1261,,,,,,,,,,,,,,
211028AZHA1,Stimulus,bp,121,301,661,1081,,,,,,,,,,,,,,,,,,,,
211028AZHA1,Stimulus,nw,421,541,721,1141,,,,,,,,,,,,,,,,,,,,
211028SLEE1,Stimulus,ss,61,481,661,1021,1081,1261,,,,,,,,,,,,,,,,,,
211028SLEE1,Stimulus,fw,1,181,241,301,361,421,601,721,1201,1321,,,,,,,,,,,,,,
211028SLEE1,Stimulus,bp,121,541,961,1381,,,,,,,,,,,,,,,,,,,,
211028SLEE1,Stimulus,nw,781,841,901,1141,,,,,,,,,,,,,,,,,,,,
211103LGAR1,Stimulus,ss,1,61,301,541,721,901,,,,,,,,,,,,,,,,,,
211103LGAR1,Stimulus,fw,121,241,361,421,481,841,1081,1141,1201,1381,,,,,,,,,,,,,,
211103LGAR1,Stimulus,bp,181,601,781,1261,,,,,,,,,,,,,,,,,,,,
211103LGAR1,Stimulus,nw,661,961,1021,1321,,,,,,,,,,,,,,,,,,,,
211104CZAL1,Stimulus,ss,1,541,601,961,1081,1201,,,,,,,,,,,,,,,,,,
211104CZAL1,Stimulus,fw,121,361,421,481,661,901,1021,1261,1321,1381,,,,,,,,,,,,,,
211104CZAL1,Stimulus,bp,61,181,241,1141,,,,,,,,,,,,,,,,,,,,
211104CZAL1,Stimulus,nw,301,721,781,841,,,,,,,,,,,,,,,,,,,,
211118APOP1,Stimulus,ss,1,61,361,601,841,1261,,,,,,,,,,,,,,,,,,
211118APOP1,Stimulus,fw,121,301,541,661,721,781,901,1141,1201,1381,,,,,,,,,,,,,,
211118APOP1,Stimulus,bp,181,481,961,1321,,,,,,,,,,,,,,,,,,,,
211118APOP1,Stimulus,nw,241,421,1021,1081,,,,,,,,,,,,,,,,,,,,
211118TSTA1,Stimulus,ss,1,121,421,1081,1261,1321,,,,,,,,,,,,,,,,,,
211118TSTA1,Stimulus,fw,61,301,361,481,601,661,781,841,1021,1141,,,,,,,,,,,,,,
211118TSTA1,Stimulus,bp,241,721,901,1381,,,,,,,,,,,,,,,,,,,,
211118TSTA1,Stimulus,nw,181,541,961,1201,,,,,,,,,,,,,,,,,,,,
211122LWIE1,Stimulus,ss,481,541,721,1081,1261,1381,,,,,,,,,,,,,,,,,,
211122LWIE1,Stimulus,fw,61,601,661,781,841,901,1021,1141,1201,1321,,,,,,,,,,,,,,
211122LWIE1,Stimulus,bp,1,301,361,421,,,,,,,,,,,,,,,,,,,,
211122LWIE1,Stimulus,nw,121,181,241,961,,,,,,,,,,,,,,,,,,,,
211123GWAI1,Stimulus,ss,1,61,121,181,421,1201,,,,,,,,,,,,,,,,,,
211123GWAI1,Stimulus,fw,241,361,601,721,901,961,1021,1141,1261,1321,,,,,,,,,,,,,,
211123GWAI1,Stimulus,bp,301,481,541,1081,,,,,,,,,,,,,,,,,,,,
211123GWAI1,Stimulus,nw,661,781,841,1381,,,,,,,,,,,,,,,,,,,,
211129SCAM1,Stimulus,ss,541,601,721,901,1261,1381,,,,,,,,,,,,,,,,,,
211129SCAM1,Stimulus,fw,121,241,301,361,421,661,781,841,1021,1081,,,,,,,,,,,,,,
211129SCAM1,Stimulus,bp,61,481,1141,1321,,,,,,,,,,,,,,,,,,,,
211129SCAM1,Stimulus,nw,1,181,961,1201,,,,,,,,,,,,,,,,,,,,
211201KCHU1,Stimulus,ss,121,481,601,961,1021,1081,,,,,,,,,,,,,,,,,,
211201KCHU1,Stimulus,fw,61,181,241,301,421,541,721,841,901,1261,,,,,,,,,,,,,,
211201KCHU1,Stimulus,bp,1,361,1141,1381,,,,,,,,,,,,,,,,,,,,
211201KCHU1,Stimulus,nw,661,781,1201,1321,,,,,,,,,,,,,,,,,,,,
211202KPLU1,Stimulus,ss,421,541,1021,1081,1201,1381,,,,,,,,,,,,,,,,,,
211202KPLU1,Stimulus,fw,301,361,481,721,781,841,901,1141,1261,1321,,,,,,,,,,,,,,
211202KPLU1,Stimulus,bp,1,121,601,961,,,,,,,,,,,,,,,,,,,,
211202KPLU1,Stimulus,nw,61,181,241,661,,,,,,,,,,,,,,,,,,,,
211203KWAL1,Stimulus,ss,1,61,301,901,1021,1081,,,,,,,,,,,,,,,,,,
211203KWAL1,Stimulus,fw,181,241,481,541,601,661,841,1141,1201,1261,,,,,,,,,,,,,,
211203KWAL1,Stimulus,bp,121,361,721,781,,,,,,,,,,,,,,,,,,,,
211203KWAL1,Stimulus,nw,421,961,1321,1381,,,,,,,,,,,,,,,,,,,,
211203ZCAR1,Stimulus,ss,1,661,781,1021,1321,1381,,,,,,,,,,,,,,,,,,
211203ZCAR1,Stimulus,fw,61,181,301,421,541,721,961,1081,1141,1261,,,,,,,,,,,,,,
211203ZCAR1,Stimulus,bp,121,361,601,1201,,,,,,,,,,,,,,,,,,,,
211203ZCAR1,Stimulus,nw,241,481,841,901,,,,,,,,,,,,,,,,,,,,
211206JLAW1,Stimulus,ss,121,781,841,1021,1321,1381,,,,,,,,,,,,,,,,,,
211206JLAW1,Stimulus,fw,181,241,361,481,541,721,901,961,1081,1261,,,,,,,,,,,,,,
211206JLAW1,Stimulus,bp,1,61,661,1141,,,,,,,,,,,,,,,,,,,,
211206JLAW1,Stimulus,nw,301,421,601,1201,,,,,,,,,,,,,,,,,,,,
211209ASUR1,Stimulus,ss,421,481,1081,1141,1201,1261,,,,,,,,,,,,,,,,,,
211209ASUR1,Stimulus,fw,1,181,241,301,721,781,841,901,1021,1321,,,,,,,,,,,,,,
